series_id,year,period,value,state_name
LASBS360000000000003          ,2025,M03,4.475111000668156,NewYork
LASBS360000000000003          ,2025,M04,4.499174703967417,NewYork
LASBS360000000000003          ,2025,M05,4.497984218874403,NewYork
LASBS360000000000003          ,2025,M06,4.479581164946317,NewYork
LASBS360000000000003          ,2025,M07,4.516440339826647,NewYork
LASBS360000000000003          ,2025,M08,4.524523612396234,NewYork
LASBS360000000000003          ,2025,M09,4.47353066335124,NewYork
LASBS360000000000003          ,2025,M10,4.512803327946013,NewYork
LASBS360000000000003          ,2025,M11,4.4688987070935795,NewYork
LASBS360000000000003          ,2025,M12,4.504777957912564,NewYork
LASBS360000000000003          ,2026,M01,4.443459516957391,NewYork
LASBS360000000000003          ,2026,M02,4.506589193513033,NewYork
