series_id,year,period,value,state_name
LASST460000000000003          ,2025,M03,2.294013401587866,SouthDakota
LASST460000000000003          ,2025,M04,2.1888244447550305,SouthDakota
LASST460000000000003          ,2025,M05,2.180880132763315,SouthDakota
LASST460000000000003          ,2025,M06,2.2767093698355616,SouthDakota
LASST460000000000003          ,2025,M07,2.274742563972298,SouthDakota
LASST460000000000003          ,2025,M08,2.316094731525672,SouthDakota
LASST460000000000003          ,2025,M09,2.2546656721486045,SouthDakota
LASST460000000000003          ,2025,M10,2.2565233810574243,SouthDakota
LASST460000000000003          ,2025,M11,2.2371475816652002,SouthDakota
LASST460000000000003          ,2025,M12,2.236320024683165,SouthDakota
LASST460000000000003          ,2026,M01,2.232224740392469,SouthDakota
LASST460000000000003          ,2026,M02,2.1956236080511773,SouthDakota
