series_id,year,period,value,state_name
LASST080000000000003          ,2025,M03,5.182588848768342,Colorado
LASST080000000000003          ,2025,M04,5.144338600407221,Colorado
LASST080000000000003          ,2025,M05,5.220772192171055,Colorado
LASST080000000000003          ,2025,M06,5.191937128770768,Colorado
LASST080000000000003          ,2025,M07,5.148208151778006,Colorado
LASST080000000000003          ,2025,M08,5.140855775985219,Colorado
LASST080000000000003          ,2025,M09,5.171788217494075,Colorado
LASST080000000000003          ,2025,M10,5.181580870563599,Colorado
LASST080000000000003          ,2025,M11,5.1664280616642815,Colorado
LASST080000000000003          ,2025,M12,5.145554072181845,Colorado
LASST080000000000003          ,2026,M01,5.183138872635408,Colorado
LASST080000000000003          ,2026,M02,5.174043157130183,Colorado
