series_id,year,period,value,state_name
LASST540000000000003          ,2025,M03,4.638468437586631,WestVirginia
LASST540000000000003          ,2025,M04,4.640435834577348,WestVirginia
LASST540000000000003          ,2025,M05,4.689169248860173,WestVirginia
LASST540000000000003          ,2025,M06,4.608034109727914,WestVirginia
LASST540000000000003          ,2025,M07,4.692919095235846,WestVirginia
LASST540000000000003          ,2025,M08,4.67924498414896,WestVirginia
LASST540000000000003          ,2025,M09,4.644166895277945,WestVirginia
LASST540000000000003          ,2025,M10,4.71725334984833,WestVirginia
LASST540000000000003          ,2025,M11,4.664503468468485,WestVirginia
LASST540000000000003          ,2025,M12,4.651891884415825,WestVirginia
LASST540000000000003          ,2026,M01,4.698287151616343,WestVirginia
LASST540000000000003          ,2026,M02,4.658849088476596,WestVirginia
