series_id,year,period,value,state_name
LASST510000000000003          ,2025,M03,3.7307659176656225,Virginia
LASST510000000000003          ,2025,M04,3.7409560645994255,Virginia
LASST510000000000003          ,2025,M05,3.741226871076102,Virginia
LASST510000000000003          ,2025,M06,3.739749235667948,Virginia
LASST510000000000003          ,2025,M07,3.7440357639174158,Virginia
LASST510000000000003          ,2025,M08,3.696132414700926,Virginia
LASST510000000000003          ,2025,M09,3.713686587041437,Virginia
LASST510000000000003          ,2025,M10,3.726089927167901,Virginia
LASST510000000000003          ,2025,M11,3.7135370047194005,Virginia
LASST510000000000003          ,2025,M12,3.731517181182114,Virginia
LASST510000000000003          ,2026,M01,3.734155012202501,Virginia
LASST510000000000003          ,2026,M02,3.746384660018976,Virginia
